step,time_fs,atom_idx,atom_type,atom_energy,total_energy
16,16.0,1,C,-2.470360279083252,-2.6764440536499023
16,16.0,2,C,0.4149983525276184,-2.6764440536499023
16,16.0,3,C,0.1587243378162384,-2.6764440536499023
16,16.0,4,C,0.6964471936225891,-2.6764440536499023
16,16.0,5,H,0.5634604096412659,-2.6764440536499023
16,16.0,6,H,2.5803158283233643,-2.6764440536499023
16,16.0,7,H,-1.2519004344940186,-2.6764440536499023
16,16.0,8,H,-1.4097644090652466,-2.6764440536499023
16,16.0,9,H,1.2150070667266846,-2.6764440536499023
16,16.0,10,H,-0.413295179605484,-2.6764440536499023
16,16.0,11,H,-0.40082037448883057,-2.6764440536499023
16,16.0,12,H,-1.7742315530776978,-2.6764440536499023
16,16.0,13,H,1.9113723039627075,-2.6764440536499023
16,16.0,14,H,-1.0269582271575928,-2.6764440536499023
17,17.0,0,C,1.2745143175125122,0.5688891410827637
17,17.0,1,C,-1.308656096458435,0.5688891410827637
17,17.0,2,C,-0.1880069375038147,0.5688891410827637
17,17.0,3,C,0.622154712677002,0.5688891410827637
17,17.0,4,C,-0.3300350308418274,0.5688891410827637
17,17.0,5,H,-0.2955641746520996,0.5688891410827637
17,17.0,6,H,1.7602019309997559,0.5688891410827637
17,17.0,7,H,-0.8354515433311462,0.5688891410827637
17,17.0,8,H,0.5664540529251099,0.5688891410827637
17,17.0,9,H,0.8185945153236389,0.5688891410827637
17,17.0,10,H,-0.39069700241088867,0.5688891410827637
17,17.0,11,H,-0.19365434348583221,0.5688891410827637
17,17.0,12,H,-2.3928351402282715,0.5688891410827637
17,17.0,13,H,0.9181835055351257,0.5688891410827637
17,17.0,14,H,-0.7939975261688232,0.5688891410827637
18,18.0,0,C,1.2602922916412354,4.855412006378174
18,18.0,1,C,-2.404111623764038,4.855412006378174
18,18.0,2,C,-0.294727623462677,4.855412006378174
18,18.0,3,C,0.9097616672515869,4.855412006378174
18,18.0,4,C,0.023651346564292908,4.855412006378174
18,18.0,5,H,-0.11091922968626022,4.855412006378174
18,18.0,6,H,3.3451404571533203,4.855412006378174
18,18.0,7,H,-1.350106120109558,4.855412006378174
18,18.0,8,H,0.4137200713157654,4.855412006378174
18,18.0,9,H,1.0382606983184814,4.855412006378174
18,18.0,10,H,-0.37771177291870117,4.855412006378174
18,18.0,11,H,-0.28018391132354736,4.855412006378174
18,18.0,12,H,-3.3470849990844727,4.855412006378174
18,18.0,13,H,1.8513206243515015,4.855412006378174
18,18.0,14,H,-1.4601149559020996,4.855412006378174
19,19.0,0,C,1.2681541442871094,3.4346537590026855
19,19.0,1,C,-2.043511390686035,3.4346537590026855
19,19.0,2,C,-0.25483718514442444,3.4346537590026855
19,19.0,3,C,0.8138161897659302,3.4346537590026855
19,19.0,4,C,-0.09574425220489502,3.4346537590026855
19,19.0,5,H,-0.16257190704345703,3.4346537590026855
19,19.0,6,H,2.8303749561309814,3.4346537590026855
19,19.0,7,H,-1.1800962686538696,3.4346537590026855
19,19.0,8,H,0.4689309000968933,3.4346537590026855
19,19.0,9,H,0.9749099612236023,3.4346537590026855
19,19.0,10,H,-0.37757107615470886,3.4346537590026855
19,19.0,11,H,-0.2510010600090027,3.4346537590026855
19,19.0,12,H,-3.040243625640869,3.4346537590026855
19,19.0,13,H,1.545175313949585,3.4346537590026855
19,19.0,14,H,-1.2364675998687744,3.4346537590026855
20,20.0,0,C,1.1306936740875244,5.905420303344727
20,20.0,1,C,-2.518453598022461,5.905420303344727
20,20.0,2,C,-0.29231899976730347,5.905420303344727
20,20.0,3,C,0.9232896566390991,5.905420303344727
20,20.0,4,C,0.13286277651786804,5.905420303344727
20,20.0,5,H,-0.04857993870973587,5.905420303344727
20,20.0,6,H,3.507230758666992,5.905420303344727
20,20.0,7,H,-1.3823974132537842,5.905420303344727
20,20.0,8,H,0.35562169551849365,5.905420303344727
20,20.0,9,H,1.0139093399047852,5.905420303344727
20,20.0,10,H,-0.36740976572036743,5.905420303344727
20,20.0,11,H,-0.24315276741981506,5.905420303344727
20,20.0,12,H,-3.3162426948547363,5.905420303344727
20,20.0,13,H,1.9350228309631348,5.905420303344727
20,20.0,14,H,-1.5186688899993896,5.905420303344727
21,21.0,0,C,1.131598949432373,6.3541364669799805
21,21.0,1,C,-2.6317391395568848,6.3541364669799805
21,21.0,2,C,-0.303491473197937,6.3541364669799805
21,21.0,3,C,0.9548866748809814,6.3541364669799805
21,21.0,4,C,0.1704847365617752,6.3541364669799805
21,21.0,5,H,-0.029399462044239044,6.3541364669799805
21,21.0,6,H,3.6712849140167236,6.3541364669799805
21,21.0,7,H,-1.4376890659332275,6.3541364669799805
21,21.0,8,H,0.33652234077453613,6.3541364669799805
21,21.0,9,H,1.032585620880127,6.3541364669799805
21,21.0,10,H,-0.3681631088256836,6.3541364669799805
21,21.0,11,H,-0.2524869441986084,6.3541364669799805
21,21.0,12,H,-3.414010524749756,6.3541364669799805
21,21.0,13,H,2.029103994369507,6.3541364669799805
21,21.0,14,H,-1.588344931602478,6.3541364669799805
22,22.0,0,C,1.2614163160324097,3.6151528358459473
22,22.0,1,C,-2.0858373641967773,3.6151528358459473
22,22.0,2,C,-0.25905436277389526,3.6151528358459473
22,22.0,3,C,0.8224770426750183,3.6151528358459473
22,22.0,4,C,-0.08180085569620132,3.6151528358459473
22,22.0,5,H,-0.16221235692501068,3.6151528358459473
22,22.0,6,H,2.883568525314331,3.6151528358459473
22,22.0,7,H,-1.1969850063323975,3.6151528358459473
22,22.0,8,H,0.4620113670825958,3.6151528358459473
22,22.0,9,H,0.9803125262260437,3.6151528358459473
22,22.0,10,H,-0.3774014115333557,3.6151528358459473
22,22.0,11,H,-0.2545657157897949,3.6151528358459473
22,22.0,12,H,-3.06942081451416,3.6151528358459473
22,22.0,13,H,1.57988703250885,3.6151528358459473
22,22.0,14,H,-1.263153076171875,3.6151528358459473
23,23.0,0,C,1.2618683576583862,4.1493330001831055
23,23.0,1,C,-2.2346320152282715,4.1493330001831055
23,23.0,2,C,-0.2746849060058594,4.1493330001831055
23,23.0,3,C,0.8615594506263733,4.1493330001831055
23,23.0,4,C,-0.030444003641605377,4.1493330001831055
23,23.0,5,H,-0.13355104625225067,4.1493330001831055
23,23.0,6,H,3.10276460647583,4.1493330001831055
23,23.0,7,H,-1.2697501182556152,4.1493330001831055
23,23.0,8,H,0.44151318073272705,4.1493330001831055
23,23.0,9,H,1.010028600692749,4.1493330001831055
23,23.0,10,H,-0.37424230575561523,4.1493330001831055
23,23.0,11,H,-0.2686760127544403,4.1493330001831055
23,23.0,12,H,-3.2065980434417725,4.1493330001831055
23,23.0,13,H,1.7106943130493164,4.1493330001831055
23,23.0,14,H,-1.3507848978042603,4.1493330001831055
24,24.0,0,C,-0.07680784165859222,-6.496009349822998
24,24.0,1,C,-1.4761910438537598,-6.496009349822998
24,24.0,2,C,0.5307531356811523,-6.496009349822998
24,24.0,3,C,-0.09637802839279175,-6.496009349822998
24,24.0,4,C,0.3595932126045227,-6.496009349822998
24,24.0,5,H,0.4070359170436859,-6.496009349822998
24,24.0,6,H,1.1360172033309937,-6.496009349822998
24,24.0,7,H,-0.7786769866943359,-6.496009349822998
24,24.0,8,H,-1.2585506439208984,-6.496009349822998
24,24.0,9,H,1.0249369144439697,-6.496009349822998
24,24.0,10,H,-0.4151614308357239,-6.496009349822998
24,24.0,11,H,-0.3188338875770569,-6.496009349822998
24,24.0,12,H,-0.8877785205841064,-6.496009349822998
24,24.0,13,H,1.0456807613372803,-6.496009349822998
24,24.0,14,H,-0.41655433177948,-6.496009349822998
25,25.0,0,C,-0.07318996638059616,-6.524845123291016
25,25.0,1,C,-1.4582113027572632,-6.524845123291016
25,25.0,2,C,0.5336289405822754,-6.524845123291016
25,25.0,3,C,-0.09811501204967499,-6.524845123291016
25,25.0,4,C,0.35353538393974304,-6.524845123291016
25,25.0,5,H,0.4038372039794922,-6.524845123291016
25,25.0,6,H,1.1092922687530518,-6.524845123291016
25,25.0,7,H,-0.7694554328918457,-6.524845123291016
25,25.0,8,H,-1.2544095516204834,-6.524845123291016
25,25.0,9,H,1.0200073719024658,-6.524845123291016
25,25.0,10,H,-0.4169389307498932,-6.524845123291016
25,25.0,11,H,-0.3147980570793152,-6.524845123291016
25,25.0,12,H,-0.8716315031051636,-6.524845123291016
25,25.0,13,H,1.0302914381027222,-6.524845123291016
25,25.0,14,H,-0.40729212760925293,-6.524845123291016
26,26.0,0,C,-0.09313351660966873,-2.6425294876098633
26,26.0,1,C,-2.476855516433716,-2.6425294876098633
26,26.0,2,C,0.41446250677108765,-2.6425294876098633
26,26.0,3,C,0.1599743515253067,-2.6425294876098633
26,26.0,4,C,0.6993495225906372,-2.6425294876098633
26,26.0,5,H,0.5637165307998657,-2.6425294876098633
26,26.0,6,H,2.5900261402130127,-2.6425294876098633
26,26.0,7,H,-1.2547436952590942,-2.6425294876098633
26,26.0,8,H,-1.411208152770996,-2.6425294876098633
26,26.0,9,H,1.2166887521743774,-2.6425294876098633
26,26.0,10,H,-0.41286471486091614,-2.6425294876098633
26,26.0,11,H,-0.40215957164764404,-2.6425294876098633
26,26.0,12,H,-1.7783628702163696,-2.6425294876098633
26,26.0,13,H,1.9165855646133423,-2.6425294876098633
26,26.0,14,H,-1.0298619270324707,-2.6425294876098633
27,27.0,0,C,1.276182770729065,0.4903225898742676
27,27.0,1,C,-1.2863160371780396,0.4903225898742676
27,27.0,2,C,-0.183415487408638,0.4903225898742676
27,27.0,3,C,0.6165100932121277,0.4903225898742676
27,27.0,4,C,-0.33846768736839294,0.4903225898742676
27,27.0,5,H,-0.2978074252605438,0.4903225898742676
27,27.0,6,H,1.7260388135910034,0.4903225898742676
27,27.0,7,H,-0.8228882551193237,0.4903225898742676
27,27.0,8,H,0.5733160376548767,0.4903225898742676
27,27.0,9,H,0.8152707815170288,0.4903225898742676
27,27.0,10,H,-0.38985931873321533,0.4903225898742676
27,27.0,11,H,-0.18880730867385864,0.4903225898742676
27,27.0,12,H,-2.3715262413024902,0.4903225898742676
27,27.0,13,H,0.8997928500175476,0.4903225898742676
27,27.0,14,H,-0.7806940078735352,0.4903225898742676
28,28.0,0,C,-0.09383298456668854,-2.583146095275879
28,28.0,1,C,-2.497649669647217,-2.583146095275879
28,28.0,2,C,0.41317665576934814,-2.583146095275879
28,28.0,3,C,0.1643337905406952,-2.583146095275879
28,28.0,4,C,0.7052175998687744,-2.583146095275879
28,28.0,5,H,0.5674473643302917,-2.583146095275879
28,28.0,6,H,2.620086908340454,-2.583146095275879
28,28.0,7,H,-1.2643883228302002,-2.583146095275879
28,28.0,8,H,-1.41472589969635,-2.583146095275879
28,28.0,9,H,1.2204389572143555,-2.583146095275879
28,28.0,10,H,-0.4124343693256378,-2.583146095275879
28,28.0,11,H,-0.4043302834033966,-2.583146095275879
28,28.0,12,H,-1.7960243225097656,-2.583146095275879
28,28.0,13,H,1.933524489402771,-2.583146095275879
28,28.0,14,H,-1.042391300201416,-2.583146095275879
29,29.0,0,C,1.2755070924758911,0.37161922454833984
29,29.0,1,C,-1.2573965787887573,0.37161922454833984
29,29.0,2,C,-0.17708858847618103,0.37161922454833984
29,29.0,3,C,0.6088906526565552,0.37161922454833984
29,29.0,4,C,-0.3475940525531769,0.37161922454833984
29,29.0,5,H,-0.30191871523857117,0.37161922454833984
29,29.0,6,H,1.6848762035369873,0.37161922454833984
29,29.0,7,H,-0.8097847104072571,0.37161922454833984
29,29.0,8,H,0.5755264759063721,0.37161922454833984
29,29.0,9,H,0.8106410503387451,0.37161922454833984
29,29.0,10,H,-0.39161837100982666,0.37161922454833984
29,29.0,11,H,-0.18718764185905457,0.37161922454833984
29,29.0,12,H,-2.340162754058838,0.37161922454833984
29,29.0,13,H,0.871009349822998,0.37161922454833984
29,29.0,14,H,-0.7609599828720093,0.37161922454833984
30,30.0,0,C,1.2614519596099854,4.380606174468994
30,30.0,1,C,-2.2813632488250732,4.380606174468994
30,30.0,2,C,-0.2811149060726166,4.380606174468994
30,30.0,3,C,0.8761179447174072,4.380606174468994
30,30.0,4,C,-0.01753862202167511,4.380606174468994
30,30.0,5,H,-0.13018330931663513,4.380606174468994
30,30.0,6,H,3.1691105365753174,4.380606174468994
30,30.0,7,H,-1.2916532754898071,4.380606174468994
30,30.0,8,H,0.4315372109413147,4.380606174468994
30,30.0,9,H,1.0157302618026733,4.380606174468994
30,30.0,10,H,-0.376967191696167,4.380606174468994
30,30.0,11,H,-0.27072980999946594,4.380606174468994
30,30.0,12,H,-3.241691827774048,4.380606174468994
30,30.0,13,H,1.7460968494415283,4.380606174468994
